Author Name,Affiliation
Bowen Alpern,"IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA"
Bowen Yu,New York University
Bradley C. Lowekamp,"Maryland Univ., Baltimore, MD, USA"
Brandon Lloyd,"Brigham Young Univ., Provo, UT, USA"
Brandon Wright,"Palantir Technol., Palo Alto, CA, USA"
Brent M. Dennis,"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA"
Bret Jackson,"Univ. of Minnesota, Minneapolis, MN, USA"
Brian Corrie,"Dept. of Comput. Sci., Australian Nat. Univ., Canberra, ACT, Australia"
Brian Johnson,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Brian K. Christensen,"Sandia Nat. Lab., Albuquerque, NM, USA"
Brian M. Tomaszewski,"Dept. of Inf. Sci. & Technol., Rochester Inst. of Technol., Rochester, NY, USA"
Brittany Kondo,"Inst. of Technol., Univ. of Ontario, Toronto, ON, Canada"
Bruce H. McCormick,Texas A&M University
Bruce H. Thomas,University of South Australia
Bruce Lucas,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Bruno Gonçalves,New York University
Bruno Jobard,"Sch. of Comput. Sci. & Inf. Technol., Tallahassee, FL, USA"
Bruno Lévy,"ISA (INRIA Lorraine), Vandoeuvre-les-Nancy, France"
Bruno Pinaud,"Univ. of Bordeaux, Bordeaux, France"
Bryan Chan,"Stanford Univ., Stanford, CA"
Bryan Genest,Novartis Institute of BioMedical Research
Bryan McDonnel,"Purdue Univ., West Lafayette, IN, USA"
Bryan Mehta,"Comput. Sci. & Eng., Ohio State Univ., Columbus, OH"
Bum Chul Kwon,"IBM T.J. Watson Research Center, Yorktown Heights, NY, USA"
Byeonghun Lee,"Seoul Nat. Univ., Seoul, South Korea"
Byeong-Seok Shin,"Dept. of Comput. Eng., Seoul Nat. Univ., South Korea"
C. A. Burton,"Melbourne Univ., Parkville, Vic., Australia"
C. Charles Law,"Kitware Inc., USA"
C. S. Jones,"USACE Waterways Exp. Station, Vicksburg, MS, USA"
C. Thornborrow,"Edinburgh Parallel Comput. Centre, Edinburgh Univ., UK"
Çagatay Demiralp,"Stanford Univ., Stanford, CA, USA"
Cagatay Turkay,"giCentre, City University, London"
Caitlin Gutheil,Maine Medical Center
Caixia Zhang,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Camilla Forsell,"Dept. of Inf. Sci., Uppsala Univ., Sweden"
Carla S. Williams,"Dept. of Electr. & Comput. Eng., New Mexico Univ., Albuquerque, NM, USA"
Carlos A. Dietrich,"Inst. de Inf., Univ. Fed. do Rio Grande do Sul, Rio Grande do Sul"
Carlos D. Correa,"Center for Appl. Sci. Comput. (CASC), Lawrence Livermore Nat. Lab., Livermore, CA, USA"
Carlos Eduardo Scheidegger,University of Arizona
Caroline Ziemkiewicz,"Brown Univ., Providence, RI, USA"
Carol L. Hunter,NASA Ames Research Center
Carson Brownlee,Intel Corp
Carsten Görg,"Georgia Inst. of Technol., Atlanta"
Carsten Stoll,"Max-Planck-Inst. fur Inf., Saarbrucken, Germany"
Catherine Plaisant,"University of Maryland, United States of America"
Cecilia di Sciascio,"Know-Center GmbH, Graz, Austria"
Cecilia R. Aragon,"Lawrence Berkeley Nat. Lab., Berkeley, CA"
Chad A. Steed,"Naval Res. Lab., Orlando, FL, USA"
Chad Jones,"Univ. of California, Davis, CA, USA"
Chandrajit L. Bajaj,"Center for Computational Visualization, Texas Univ., Austin, TX, USA"
Chang Ha Lee,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Chang-Sung Jeong,"Dept. of Electron. Eng., Korea Univ., Seoul, South Korea"
Chaoli Wang,"Dept. of Comput. Sci., Univ. of California, Davis, CA"
Chao Ma,Kent State University
Chaomei Chen,"Drexel Univ., Philadelphia, PA"
Charidimos E. Gasparakis,"Mitsubishi Electr. Inf. Technol. Center, USA"
Charilaos Papadopoulos,"Dept. of Comput. Sci., Stony Brook Univ., Stony Brook, NY, USA"
Charles A. H. Baker,"Dept. of Comput. Sci., Calgary Univ., Alta., Canada"
Charles D. Hansen,"Los Alamos Nat. Lab., NM, USA"
Charles D. Stolper,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Charles Falkenberg,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Charles Perin,"Department of Computer Science, University of Calgary"
Cheng Deng,Worcester Polytechnic Institute
Cheng Li,The Ohio State University
Cheong S. Ang,"Libr. & Center for Knowledge Manage., California Univ., San Francisco, CA, USA"
Cherilyn Michaels,"Dept. of Comput. Sci. & Eng., California Univ., San Diego, La Jolla, CA, USA"
Cheuk Yiu Ip,"Inst. for Adv. Comput. Studies, Univ. of Maryland, College Park, MD, USA"
Chhandomay Mandal,"Dept. of Comput. & Inf. Sci. & Eng., Florida Univ., Gainesville, FL, USA"
Chi-Chun Pan,"Pennsylvania State Univ., State College"
Chieh-Cheng Yen,"Dept. of Civil Eng., Ohio State Univ., OH, USA"
Chi-Keung Tang,"Univ. of Southern California, Los Angeles, CA, USA"
Chongxuan Li,"Dept. of Comp. Sci. & Tech., State Key Lab of Intell. Tech. & Sys.TNList LabCBICR Center"
Chris Bentley,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA"
Chris Bryan,"University of California, Davis"
Chris Henze,"NASA Ames Res. Center, Moffett Field, CA, USA"
Chris Muelder,"Univ. of California, Davis, CA, USA"
Chris North,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA"
Chris Shaw,"Simon Fraser Univ. Surrey, Surrey"
Chris Stolte,"Stanford Univ., CA, USA"
Christian Dick,"Comput. Graphics & Visualization Group, Tech. Univ. Munchen, Munich, Germany"
Christian Heine,"Dept. of Comput. Sci., Leipzig Univ."
Christian Lauterbach,"Univ. of North Carolina-Chapel Hill, Chapel Hill"
Christian Ledergerber,"Harvard Univ., Cambridge, MA"
Christian Panse,"Eidgenossische Tech. Hochschule, Zurich"
Christian Partl,"Graz Univ. of Technol., Graz, Austria"
Christian Richter,"Univ. of Rostock, Rostock, Germany"
Christian Rössl,"Visual Computing group at the University of Magdeburg, Germany"
Christian Roux,"Dept. Image et Traitement de l''Inf., Ecole Nat. Superieure des Telecommun. de Bretagne, Brest, France"
Christian Schulte zu Berge,"Dept. of Comput.-Aided Med. Procedures, Tech. Univ. Munchen, Mu&#x0308"
Christian Sigg,"Dept. of Comput. Sci., ETH Zurich, Switzerland"
Christian Tominski,"University of Rostock, Germany"
Christof Rezk-Salama,"Comput. Graphics & Multimedia Syst. Group, Siegen Univ."
Christof Seeger,Stuttgart Media University
Christoph Csallner,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Christophe Hurter,"ENAC, Toulouse, France"
Christopher Ahlberg,"Dept. of Comput. Sci., Chalmers Univ. of Technol., Goteborg, Sweden"
Christopher Andrews,"Middlebury Coll., USA"
Christopher Carner,"Stony Brook Univ., NY, USA"
Christopher Collins,University of Ontario
Christopher DeCoro,"Dept. of Inf. & Comput. Sci., California Univ., Irvine, CA, USA"
Christopher G. Healey,"North Carolina State Univ., Raleigh, NC, USA"
Christopher Koehler,"Eng. & Comput. Sci., Wright State Univ. Coll., Dayton, OH, USA"
Christopher Mears,"Faculty of Information Technology, Monash University"
Christopher Olston,"Stanford Univ., CA, USA"
Christopher P. Kappe,"IWR, Heidelberg Univ., Heidelberg, Germany"
Christopher R. Volpe,"GE Corp. Res. & Dev., Schenectady, NY, USA"
Christopher S. Co,"Dept. of Comput. Sci., Univ. of California, Davis, CA, USA"
Christophe Viau,"Ecole de Technol. Super., Montreal, QC, Canada"
Christophe Winkler,"Inst. Nat. de Recherche en Inf. et Autom., Nancy, France"
Christoph Garth,"Inst. of Data Anal. & Visualization, Univ. of California, Davis, CA, USA"
Christoph Heinzl,"University of Applied Sciences, Upper Austria, Wels, Austria"
Christoph Lürig,"Comput. Graphics Group, Erlangen-Nurnberg Univ., Germany"
Christoph Schulz,VISUSUniversity of Stuttgart
Chris Weaver,"Center for Spatial Anal., Univ. of Oklahoma, Norman, OK, USA"
Chris Weigle,"Dept. of Electr. Eng. & Comput. Sci., Univ. of Tennessee, Knoxville, TN"
Chuan-Kai Yang,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Chun-Ming Chen,"The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University"
Cicero Augusto de Lara Pahins,Instituto de InformÃ¡ticaUFRGS
Cindy Chamberland,"Univ. Laval, Quebec City, QC, Canada"
Claes Lundström,"Center for Med. Image Sci. & Visualization, Linkoping Univ., Linkoping, Sweden"
Claudio Montani,"CNR, Pisa, Italy"
Cláudio T. Silva,New York University
Claurissa Tuttle,"Univ. of Utah, Salt Lake City, UT, USA"
Clemens Arbesser,"VrVis Research Center, Vienna, Austria"
Clifford A. Shaffer,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA"
Clifford Beshers,"Dept. of Comput. Sci., Columbia Univ., New York, NY, USA"
Colin Fredericks,HarvardX
Colin Ware,The Center for Coastal and Ocean MappingThe University of New Hampshire
Conglei Shi,"Hong Kong Univ. of Sci. & Technol., Hong Kong, China"
Cong Wang,"CSE Dept, Polytech. Inst. of New York Univ., Brooklyn, NY, USA"
Cong Xie,"Computer Science Department, Stony Brook University"
Connor Gramazio,Dept. of Computer Science at Brown University
Connor Huff,Harvard Institute for Quantitative Social Sciences
Conrad Albrecht-Buehler,Northwestern University
Corinna Vehlow,"VISUS, Univ. of Stuttgart, Stuttgart, Germany"
Courtney C. Dornburg,"Sandia Nat. Labs., Albuquerque, NM, USA"
Craig M. Wittenbrink,"Baskin Center for Comput. Eng. & Inf. Sci., California Univ., Santa Cruz, CA, USA"
Cristian Felix,New York University
Cristina Russo Dos Santos,"Eurecom Inst., Sophia Antipolis, France"
Cydney B. Nielsen,"Genome Sci. Centre, BC Cancer Agency, Vancouver, BC, Canada"
D. A. Storchak,"International Seismological Centre, UK"
D. I. Abramov,"Dept. of Theoretical Phys., St. Petersburg State Univ., Russia"
D. Song,"Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA"
Dachywan Wu,"Illinois Inst. of Technol., Chicago, IL, USA"
Daisuke Sakurai,"Univ. of Tokyo & Japan Atomic Energy Agency, Kashiwa, Japan"
Dale A. Lawrence,"Dept. of Aerosp. Eng. Sci., Colorado Univ., Boulder, CO, USA"
Dana Higgins,Harvard Institute for Quantitative Social Sciences
Dan Drake,"Dept. of Comput. Sci., Mississippi Univ., MS, USA"
Dane M. Coffey,"Univ. of Minnesota, Minneapolis, MN, USA"
Dang Tuan Nhon,"Dept. of Comput. Sci., Univ. of Illinois at Chicago, Chicago, IL, USA"
Daniel A. Keim,"VISUS, University of Stuttgart, Germany"
Daniel Acevedo Feliz,"Dept. of Comput. Sci., Brown Univ., Providence, RI"
Daniela Oelke,"Univ. of Konstanz, Konstanz, Germany"
Daniel Archambault,Swansea University
Daniela Ushizima,"Comput. Res. Div., Lawrence Berkeley Nat. Lab., Berkeley, CA, USA"
Daniel C. Glaser,U.C. Berkeley
Daniel Cohen-Or,"Sch. of Math. Sci., Tel Aviv Univ., Israel"
Daniel E. Laney,"Lawrence Livermore Nat. Lab., Berkeley, CA, USA"
Daniel Engel,"Univ. of Kaiserslautern, Kaiserslautern, Germany"
Daniel F. Keefe,"Dept. of Comput. Sci. & Eng., Univ. of Minnesota, Minneapolis, MN, USA"
Daniel G. Aliaga,"Lucent Technol. Bell Labs, NJ, USA"
Daniel Ha,"Simon Fraser Univ., Burnaby"
Daniel Haehn,"Sch. of Eng. & Appl. Sci., Harvard Univ., Cambridge, MA, USA"
Daniel J. Wigdor,University of Toronto
Daniel Jönsson,"Linköping University, Nörrköping, Sweden"
Danielle Albers Szafir,"Univ. of Wisconsin-Madison, Madison, WI, USA"
Daniel Patel,"Christian Michelsen Res., Bergen"
Daniel R. Bekins,"Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA"
Daniel R. Tesone,"Appl. Visions Inc., Sacramento"
Daniel Weiskopf,"VISUS, University of Stuttgart"
Danny Dorling,Univ. of Sheffield
Danny Holten,Technische Univ. Eindhoven
Dan R. Lipsa,"Swansea Univ., Swansea, UK"
Danyel Fisher,Microsoft Research
Daqing Xue,"Dept. of Comput. Sci. & Eng., Ohio State Univ., Columbus, OH, USA"
Darrel Palke,"SCI, Univ. of Utah, Salt Lake City, UT, USA"
Daryl H. Hepting,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
David A. Lane,"NASA Ames Res. Center, Moffett Field, CA, USA"
David A. Prawel,"Precision Visuals Inc., Boulder, CO, USA"
David A. Rushall,"HNC Software Inc., San Diego, CA, USA"
David Akers,"Stanford Univ., CA, USA"
David Bürkle,"Inst. fur Angewandte Math., Freiburg Univ., Germany"
David C. Banks,"ORNL Sci. Comput. Group, Univ. of Tennessee, Knoxville, TN, USA"
David Cline,"Dept. of Comput. Sci., Brigham Young Univ., Provo, UT, USA"
David Crawford,"Dept. of Comput. Sci., California Univ., Davis, CA, USA"
David E. Laney,"Lawrence Livermore Nat. Lab., Berkeley, CA"
Davide Ceneda,"Vienna University of Technology, Austria"
David Ellsworth,"AMTl, NASA Ames Res. Center, Moffett Field, CA"
David F. Wiley,"Dept. of Comput. Sci., California Univ., Davis, CA, USA"
David Feng,"Univ. of North Carolina at Chapel Hill, Chapel Hill, NC, USA"
David Gotz,"Univ. of North Carolina at Chapel Hill, Chapel Hill, NC, USA"
David Günther,"Inst. Mines-Telecom, Telecom ParisTech, Paris, France"
David Guzman,University of Texas at Austin
David H. Laidlaw,Dept. of Computer Science at Brown University
David J. Duke,"Sch. of Comput., Univ. of Leeds, Leeds, UK"
David Koller,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
David Koop,"Sch. of Comput., Univ. of Utah, Salt Lake City, UT"
David Lloyd,"giCentre, City Univ. London, London, UK"
David Lu,Futurefarmers
David M. Krum,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
David M. Weinstein,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA"
David Marshburn,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
David Mayerich,"Dept. of Comput. Sci., Texas A&M Univ., College Station, TX"
David McColgin,"LabKey Software, United States of America"
David Meirion Hughes,"Sch. of Comput. Sci., Bangor Univ., Bangor, UK"
David N. Kenwright,NASA Ames Research Center
David P. Dobkin,"Dept. of Comput. Sci., Princeton Univ., NJ, USA"
David R. Nadeau,"Supercomput. Center, California Univ., San Diego, La Jolla, CA, USA"
David Rossiter,"Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Shatin, Hong Kong"
David S. Ebert,"Purdue University, United States of America"
