Author Name,Affiliation
Monika Hannemann,"German Aerosp. Res. Establ., Gottingen, Germany"
Monika Jankun-Kelly,"Computational Simulation & Design Center, Mississippi State Univ., MS"
Monique Meuschke,"University of Magdeburg, Germany"
Moritz Ehlke,"Zuse Inst. Berlin, Berlin, Germany"
Moshe Gutman,"Sch. of Comput. Sci., Univ. of Oklahoma, Norman, OK, USA"
Mustafa Bilgic,"Maryland Univ., College Park, MD"
N. Banfi,"Comput. & Autom. Res. Inst. (MTA SZTAKI), Hungary"
Nadia Boukhelifa,"INRIA, Sophia Antipolis, France"
Nafees Ahmed,"Comput. Sci. Dept., Stony Brook Univ., Stony Brook, NY, USA"
Nahum D. Gershon,The MITRE Corporation
Naim Alper,"Mar Inc., USA"
Najmeh Abedzadeh,Mississippi State University
Nam Wook Kim,John A. Paulson School of Engineering and Applied SciencesHarvard University
Nan C. Schaller,"Dept. of Comput. Sci., Rochester Inst. of Technol., NY, USA"
Nan Cao,"New York University, Shanghai"
Nancy E. Miller,"Pacific Northwest Lab., Richland, WA, USA"
Nan Zhang,"Univ. of Minnesota, Duluth, MN, USA"
Nan Zhang 0011,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Narges Mahyar,University of British Columbia
Natalia V. Andrienko,"Fraunhofer Inst. IAIS, Sankt Augustin"
Natascha Sauber,"Max-Planck-Inst. fur Inf., Saarbrucken"
Nate Hoobler,"Virginia Univ., Charlottesville, VA, USA"
Nathalie Henry Riche,Microsoft
Nathalie Prevost,"Dept. of Philos., Simon Fraser Univ., Burnaby, BC, Canada"
Nathan Andrysco,"Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN"
Nathan Conklin,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA"
Nathan Gossett,"Minnesota Univ., Minneapolis, MN"
Nathaniel Fout,"UC Davis, Davis, CA, USA"
Nathan Winters,Tufts University
Nazanin Kadivar,"Sch. of Interactive Arts & Technol., Simon Fraser Univ., Burnaby, BC, Canada"
Neal E. Hurlburt,"Lockheed Palo Alto Res. Lab., CA, USA"
Neesha Kodagoda,"Middlesex Univ., London, UK"
Neil Spring,"University of Maryland, United States of America"
Nelson L. Max,"Lawrence Livermore Nat. Lab., CA, USA"
Nelson Wong,"Dept. of Comput. Sci., Calgary Univ., Alta., Canada"
Nicholas Kong,"Comput. Sci. Div., UC Berkeley, Berkeley, CO, USA"
Nicholas Schwarz,University of Illinois at Chicago
Nick Cramer,Pacific Northwest National Laboratory
Nicklaus A. Giacobe,"Coll. of Inf. Sci. & Technol., Pennsylvania State Univ., University Park, PA, USA"
Nico Pietroni,"ISTI, CNR, Pisa, Italy"
Nicu D. Cornea,"Rutgers Univ., NJ, USA"
Niklas Elmqvist,"University of Maryland, College Park, MD, USA"
Nikolai A. Svakhine,"Purdue Univ., West Lafayette, IN, USA"
Nils Thune,"Dept. of Sci. & Technol., Christian Michelsen Inst., Fantoft, Norway"
Nina Amenta,"Texas Univ., Austin, TX, USA"
Niranjan Damera-Venkata,"Hewlett-Packard Lab., Palo Alto"
Nivan Ferreira,Universidade Federal de Pernambuco
Nivedita R. Kadaba,"Univ. of Manitoba, Winnipeg"
Nivedita Sahasrabudhe,"NSF Eng. Res. Center, Mississippi State Univ., MS, USA"
Noeska N. Smit,Delft University of TechnologyUniversity of Bergen
Norbert Lindow,"Zuse Inst. Berlin, Berlin, Germany"
Norman J. Zabusky,"Rutgers Univ., Piscataway, NJ, USA"
Octavio Juarez Espinosa,"Dept. of Civil & Environ. Eng., Carnegie Mellon Univ., Pittsburgh, PA, USA"
Ofri Sadowsky,"Johns Hopkins Univ., Laurel, MD, USA"
Ola Nilsson,"Linkoping Univ., Sweden"
Olav Lenz,"GRIS, TU Darmstadt"
Olga Sorkine-Hornung,"Sch. of Comput. Sci., Tel Aviv Univ., Israel"
Oliver Beuing,"University of Magdeburg, Germany"
Oliver Deussen,University of Konstanz
Oliver G. Staadt,"Comput. Graphics Res. Group, Fed.. Inst. of Technol., Zurich, Switzerland"
Oliver Kreylos,"Dept. of Comput. Sci., Univ. of California, Davis, CA, USA"
Oliver Staubli,"Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Olivier Devillers,"Inst. Nat. de Recherche en Inf. et Autom., Sophia Antipolis, France"
Omniah H. Nagoor,KAUST
Ove Daae Lampe,"CMR AS, Univ. of Bergen, Bergen, Norway"
Ovidio Mallo,"Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Ozan Ersoy,"Univ. of Groningen, Groningen, Netherlands"
P. C. Chen,"Fujitsu America, Inc., San Jose, CA, USA"
P. Coleman Saunders,University of Minnesota
P. Samuel Quinan,University of UtahSchool of Computing
Pablo Roman,"Comput. Sci. Dept., Univ. of Calif ornia, Irvine, CA, USA"
Pak Chung Wong,"Pacific Northwest Nat. Lab., Richland, WA, USA"
Palmyra Catravas,"Union Coll., Schenectady"
Panpan Xu,Bosch Research North America
Paolo Brivio,"Univ. of Insubria, Varese, Italy"
Paolo Cignoni,"ISTI, CNR, Italy"
Paolo Simonetto,"LaBRI, Univ. de Bordeaux I, Bordeaux, France"
Parthasarathy Krishnaswamy,University of Illinois at Chicago
Pascale Proulx,"Oculus Info Inc., Toronto, Ont."
Pat Hanrahan,"Comput. Sci. & Electr. Eng., Stanford Univ., CA, USA"
Patricia Crossno,"Sandia Nat. Labs., Albuquerque, NM, USA"
Patrick Butler,"Dept. of Comput. Sci., Virginia Tech, Blacksburg, VA, USA"
Patrick Degener,"Comput. Graphics Group, Univ. of Bonn, Bonn"
Patrick Hoffman,"Inst. for Visualization & Perception Res., Massachusetts Univ., Lowell, MA, USA"
Patrick J. Moran,"Ames Res. Center, NASA, Moffett Field, CA, USA"
Patrick Köthur,"GFZ German Res. Centre for Geosci., Potsdam, Germany"
Patrick Oesterling,"Univ. of Leipzig, Leipzig, Germany"
Patrick Riehmann,"Fac. of Media, Bauhaus Univ. Weimar, Germany"
Patrick S. McCormick,"Advanced Comput. Lab., Los Alamos Nat. Lab., NM, USA"
Patric Ljung,"Div. for Visual Inf. Technol. & Applications, Linkoping Univ."
Patrizia Palamidese,"CNUCE CNR, Pisa, Italy"
Paul A. Hinker,"Los Alamos Nat. Lab., NM, USA"
Paul A. Navrátil,Texas Advanced Computing Center
Paul Adams,"ERDC, Major Shared Resource Center, Vicksburg, MS, USA"
Paul Bendich,"IST Austria, Klosterneuburg, Austria"
Paul Chapman,"Sonar Res. & Dev. Ltd., Beverley, UK"
Paul Craig,"Sch. of Comput., Napier Univ., Edinburgh, UK"
Paul E. Keel,"Comput. Sci. & Artificial Intelligence Lab., Massachusetts Inst. of Technol."
Paul Gene Swann,"Dept. of Comput. Sci., Colorado Univ., Colorado Springs, CO, USA"
Paul Hoover,"LabKey Software, United States of America"
Paul Issartel,"Univ. Paris Saclay, France"
Paul K. J. Han,Maine Medical Center
Paul Kidwell,"Dept. of Stat., Purdue Univ., West Lafayette, IN"
Paul Klemm,"Otto-von-Guericke Univ. Magdeburg, Magdeburg, Germany"
Paul M. Thompson,Imaging Genetics CenterMark & Mary Stevens Institute for Neuroimaging & InformaticsUniversity of Southern California
Paul Ning,"Dept. of Electr. Eng., Stanford Univ., CA, USA"
Paulo E. Rauber,University of GroningenUniversity of Campinas
Paulo Joia,"Univ. de Sao Paulo, Sao Paulo, Brazil"
Paul Rosenthal,"Jacobs Univ. Bremen, Bremen"
Pearl Pu,"Dept. of Comput. Sci., Swiss Federal Inst. of Technol., Lausanne, Switzerland"
Pedro Hermosilla,"ViRVIG Group, Barcelona Supercomputing Center"
Peer-Timo Bremer,"Center for Image Process. & Integrated Comput., California Univ., Davis, CA, USA"
Peng Xu,"NetEase, Inc."
Penny Rheingans,"Dept. of Comput. Sci. & Electr. Eng., Maryland Univ., Baltimore, MD, USA"
Pere-Pau Vázquez,"ViRVIG Group, UPC, Barcelona"
Peter A. Fletcher,"CSIRO, Canberra, ACT, Australia"
Peter A. Rona,"Inst. of Marine & Coastal Sci., Rutgers Univ., New Brunswick, NJ, USA"
Peter Bak,"Univ. of Konstanz, Konstanz, Germany"
Peter G. Sibley,Brown University
Peter Kochevar,"Digital Equipment Corp., San Diego, CA, USA"
Peter Kohlmann,"Vienna Univ. of Technol., Vienna"
Peter L. Williams,"Nat. Center for Supercomput. Applications, Illinois Univ., Urbana, IL, USA"
Peter Lindstrom,"Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, CA, USA"
Peter Lüders,"Tech. Univ. Braunschweig, Germany"
Peter Rander,"Robotics Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA"
Peter Rautek,Visual Computing Center(VCC)King Abdullah University of Science and Technology (KAUST)
Peter Schröder,"Thinking Machines Corp., Cambridge, MA, USA"
Petra Isenberg,"Inria, France"
Philip A. Legg,"Dept. of Comput. Sci., Swansea Univ., Swansea, UK"
Philip C. Hsu,"Dept. of Electr. Eng., Florida Univ., Gainesville, FL, USA"
Philip D. Heermann,"Sandia Nat. Labs., Albuquerque, NM, USA"
Philip J. Mercurio,"San Diego Supercomput. Center, CA, USA"
Philip K. Robertson,"CSIRO, Canberra, ACT, Australia"
Philip M. Sutton,"Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA"
Philip Peterson,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
Philipp Muigg,"Vienna Univ. of Technol., Vienna, Austria"
Philipp Schlegel,"Dept. of Inf., Univ. of Zurich, Zurich, Switzerland"
Phong H. Nguyen,"Middlesex University, London, UK"
Pier Francesco Cortese,"Dipt. di Informatica e Automazione, Rome Univ."
Pierre Accorsi,"LIRMM, Univ. Montpellier 2, Montpellier, France"
Pierre Dragicevic,Inria and UniversitÃ© Paris-Saclay
Ping-Kang Hsiung,"Carnegie Mellon Univ., Pittsburgh, PA, USA"
Pin Ren,Northwestern University
Polina Kondratieva,"Comput. Graphics & Visualization Group, Technische Univ. Munchen, Germany"
Po-Ming Law,Hong Kong University of Science and Technology
Poonam Shanbhag,"Maryland Univ., Baltimore, MD, USA"
Pourang Irani,"University of Manitoba, Canada"
Pramod M. Mahadev,"Dept. of Electr. Eng., Washington Univ., Seattle, WA, USA"
Prashant Chopra,"Eng. Res. Center, Mississippi State Univ., MS, USA"
Praveen Bhaniramka,"Silicon Graphics Comput. Syst., Mountain View, CA, USA"
Praveen R. Thiagarajan,"Biotechnol. Inst., Delaware Univ., Newark, DE, USA"
Prithiviraj K. Muthumanickam,"Linköping University, Sweden"
Purvi Saraiya,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA"
Qian Chen,"Univ. of Southern California, Los Angeles, CA, USA"
Qiang Du,"Dept. of Math., Pennsylvania State Univ., University Park, PA, USA"
Qiaomu Shen,Hong Kong University of Science and Technology
Qing Chen,"Hong Kong University of Science and Technology, China"
Qingguang Cui,"Worcester Polytech. Inst., MA"
Qing Li,"Dept. of Comput. Sci., Virginia Polytech. Inst & State Univ., Blacksburg, VA, USA"
Qingmin Shi,"Dept. of Electr. & Comput. Eng., Maryland Univ., College Park, MD"
Qingsong Liu,"Chinese Academy of Sciences, SKLCSInstitute of Software"
Qin Shen,"Dept. of Comput. Sci., California Univ., CA, USA"
Qi Ye,"Beijing Key Lab. of Intell. Telecommun. Software & Multimedia, Beijing Univ. of Posts & Telecommun., Beijing"
Quang Vinh Nguyen,"Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia"
Quan Li,Hong Kong University of Science and Technology
Quentin E. Dolecek,"Johns Hopkins Univ., Laurel, MD, USA"
R. J. Moorehead,"NSF Eng. Res. Center for Computational Field Simulation, Mississippi State Univ., MS, USA"
R. Jordan Crouser,Smith College
R. Mark Adams,"Variagenics Inc., Cambridge, MA, USA"
R. Mitchell,"Mitre Corp., Bedford, MA, USA"
R. Popovic,"Rutherford Appleton Lab., Didcot, UK"
R. R. Johnson,"Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA"
R. R. Springmeyer,"Lawrence Livermore Nat. Lab., Livermore, CA, USA"
R. Victor Klassen,"Xerox Webster Res. Center, Webster, NY, USA"
Raanan Fattal,"Sch. of Comput. Sci. & Eng., Jerusalem, Israel"
Rachel Shadoan,"Akashic Labs. LLC, USA"
Radu Jianu,"Brown Univ., Providence, RI, USA"
Rafael Veras,University of OntarioInstitute of Technology
Raghu Machiraju,The Ohio State University
Raimund Dachselt,Dresden University of Technology
Rainer Splechtna,"VRVis Res. Center in Vienna, Vienna, Austria"
Rainer Wegenkittl,"Tiani Medgraph GesmbH, Vienna, Austria"
Raj Shekhar,"Biomed. Eng. Center, Ohio State Univ., Columbus, OH, USA"
Ralf Kähler,"Zuse-lnstitute Berlin, Germany"
Ralf P. Botchen,"Stuttgart Univ., Germany"
Ralph Brecheisen,"Tech. Univ. Eindhoven, Eindhoven, Netherlands"
Rama Akkiraju,"IBM Research, United States of America"
Ramesh Raskar,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Rami Hietala,"Dept. of Diagnostic Radiol., Oulu Univ., Finland"
Ramik Sadana,"Georgia Tech, Atlanta, GA, USA"
Ramin Shahidi,Stanford University Medical Center
Randall C. Smith,"GM R&D, Bangalore"
Randall M. Rohrer,"Dept. of Electr. Eng. & Comput. Sci., George Washington Univ., Washington, DC, USA"
Randy K. Scoggins,"US Army Eng. R&D Center, Vicksburg, MS, USA"
Randy L. Ribler,"Lynchburg College, Lynchbury, VA, USA"
Ranko Miklin,"Dept. of Telecommun., Univ. of Zagreb, Zagreb"
Raphael Fuchs,"ETH Zurich, Zurich, Switzerland"
Ray J. Meyers,"Sandia Nat. Lab., Albuquerque, NM, USA"
Ray Twiddy,"Hughes STX Corp., NASA Goddard Space Flight Center, Greenbelt, MD, USA"
Reinhard Klein,"Wilhelm-Schickard-Inst. fur Inf., Tubingen Univ., Germany"
Remco Chang,Tufts University
Renato Pajarola,"Dept. of Informatics, Zurich Univ., Switzerland"
Renaud Blanch,"Univ. of Grenoble 1, Grenoble"
Renben Shu,"Inst. of Syst. Sci., Nat. Univ. of Singapore, Kent Ridge, Singapore"
Reuben Reyes,University of Texas at Austin
Rhazes Spell,Duke University
Ricardo S. Avila,"Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA"
Richard A. Becker,"AT&T Bell Lab., Murray Hill, NJ, USA"
Richard Brath,"Visible Decision Inc., Toronto, Ont., Canada"
Richard Gooch,"CSIRO Australia Telescope Nat. Facility, Sydney, NSW, Australia"
Richard L. Phillips,"Los Alamos Nat. Lab., NM, USA"
Richard M. Wilson,"Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA"
Richard S. Gallagher,"Swanson Analysis Systems Inc., Houston, PA, USA"
Richen Liu,"Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University"
Rick Kazman,"Dept. of Comput. Sci., Waterloo Univ., Ont., Canada"
Rick Walker,"Middlesex Univ., London, UK"
Rita Borgo,"Comput. Sci., Swansea Univ., Swansea, UK"
Robert A. Amar,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Robert A. Cross,"Naval Res. Lab., Washington, DC, USA"
Robert A. Lafrance,Pacific Northwest National Laboratory
Robert Albert,"Appl. Med. Visualizations, West Valley, UT, USA"
Robert B. Haber,"Dept. of Theor. & Appl. Mech., Illinois Univ., Urbana, IL, USA"
Robert E. Roth,"Univ. of Wisconsin-Madison, Madison, WI, USA"
Robert G. Hughes,"Sch. of Inf. Syst., Univ. of East Anglia, Norwich, UK"
Robert H. Wolfe,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Robert Haimes,"Dept. of Aeronaut. & Astronaut, MIT, Cambridge, MA, USA"
Robert J. Hendley,"Sch. of Comput. Sci., Birmingham Univ., UK"
Robert Kincaid,Agilent Laboratories
Robert Kosara,Vienna University of Technology
Robert M. Edsall,Arizona State University
Robert Michael Kirby,"Div. of Appl. Math., Brown Univ., Providence, RI, USA"
Roberto Grosso,"Comput. Graphics Group, Erlangen-Nurnberg Univ., Germany"
Roberto Therón,"Departamento de Informalica y Automatica, Univ. de Salamanca"
Robert S. Laramee,"VRVis Res. Center, Vienna, Austria"
Robert S. MacLeod,"Utah Univ., Salt Lake City, UT, USA"
Robert Spence,"Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK"
Robert Stein,"National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign"
Robert Strzodka,"Caesar Res. Center, Bonn, Germany"
Robert van Liere,"Center for Math. & Comput. Sci., CWI, Amsterdam, Netherlands"
Rob Ingram,"Dept. of Comput. Sci., Nottingham Univ., UK"
Rocco Gasteiger,"Dept. of Simulation & Graphics, Univ. of Magdeburg, Magdeburg, Germany"
Roeland Scheepens,"Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Roel Vliegen,MagnaView
Roger A. Leite,"Vienna Univ. of Technol., Vienna, Austria"
Roger Beecham,"giCentre, City University London"
Roger C. Tam,"Dept. of Comput. Sci., British Columbia Univ., Vancouver, BC, Canada"
Roger Crawfis,"Lawrence Livermore Nat. Lab., CA, USA"
Roland Fraedrich,"Comput. Graphics & Visualization Group, Tech. Univ. at Munchen, München, Germany"
Rolf Westerteiger,"German Aerosp. Center, Univ. of Kaiserslautern, Kaiserslautern, Germany"
Romain Vuillemot,"Univ. de Lyon, Lyon, France"
Ronald Azuma,"HRL Labs., USA"
Ronald Peikert,"Dept. of Comput. Sci., ETH Zurich, Switzerland"
Ronell Sicat,"King Abdullah Univ. of Sci. & Technol. (KAUST), Thuwal, Saudi Arabia"
Rong Xu,National University of Singapore and novaCITYNETS Pte. Ltd.
Roni Yagel,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Rosane Minghim,"Sch. of Inf. Syst., East Anglia Univ., Norwich, UK"
Ross Maciejewski,Arizona State University
Ross T. Whitaker,"Sci. Comput. & Imaging Inst., Univ. of Utah, Salt Lake City, UT, USA"
Rostislav Khlebnikov,"Graz Univ. of Technol., Graz, Austria"
Roy van Pelt,"Dept. of Biomed. Eng., Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Rüdiger Westermann,Technical University of Munich
Rudolf Netzel,"VISUS, University of Stuttgart"
Ruigang Yang,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Rumi Hiraga,"Bunkyo Univ., Japan"
Runzhen Huang,"California Univ., Davis, CA, USA"
Russell M. Taylor II,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Ryan Eccles,"Oculus Info. Inc., Toronto"
Ryan Wilson,Pacific Northwest National Laboratory
S. Jeromy Carrière,"Dept. of Comput. Sci., Waterloo Univ., Ont., Canada"
S. K. Law,"Dept. of Biomed. Eng., Tulane Univ., New Orleans, LA, USA"
S. Todd Barlow,SAS Institute Inc.
S. Tyson,"Santos Ltd., Australia"
Saad Nadeem,"Computer Science Department, Stony Brook University, Stony Brook, NY"
Sabine Iserhardt-Bauer,"Visualization & Interactive Syst. Group, Stuttgart Univ., Germany"
Sabrina Bresciani,"Univ. of Lugano, Lugano, Switzerland"
Saleema Amershi,Microsoft Research
Sameep Mehta,"Dept. of Comput. Sci. & Eng., Ohio State Univ., Columbus, OH, USA"
Samer S. Barakat,"Comput. Sci. Dept., Purdue Univ., West Lafayette, IN, USA"
Sami Khoury,"CNMAT, Berkeley, CA, USA"
Samuel G. Fadel,University of SÃ£o Paulo
Samuel Gerber,"Sci. Comput. & Imaging Inst., Univ. of Utah, Salt Lake City, UT, USA"
Samuel Gratzl,"Johannes Kepler Univ. Linz, Linz, Austria"
Samuel Huron,"IRI, Inria, Orsay, France"
Samuel P. Uselton,University of North Carolina at Chapel Hill
Samuel Payne,Pacific Northwest National Laboratory
Samuel Voß,"University of Magdeburg, Germany"
Sandeep Kochhar,"Harvard Univ., Cambridge, MA, USA"
Sanghun Park,KAIST
Sanjeev Balakrishnan,"VISUS, University of Stuttgart"
Sanjini Jayaraman,"Center for Human Comput. Interaction, Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA"
Sarah Goodwin,Monash University
Sarah H. Creem-Regehr,"Department of Psychology, University of Utah"
Sara Johansson,"Norrkoping Visualization & Interaction Studio (NVIS), Linkoping Univ., Linkoping, Sweden"
Sarang Lakare,"Dept. of Comput. Sci., Stony Brook Univ., NY, USA"
Scott Barlowe,"Dept of Comput. Sci., Univ. of North Carolina, Charlotte, NC"
Scott D. Rothenberger,"Dept. of Stat., Univ. of Pittsburgh, Pittsburgh, PA, USA"
Scott E. Dillard,"Univ. of California, Davis"
Scott E. Parker,"Plasma Phys. Lab., Princeton Univ., NJ, USA"
Scott Houde,Brown University
Scott Nations,"Mississippi State Univ., MS, USA"
Sean A. Stephens,University of Arizona
Sean Kandel,"Stanford Univ., Stanford, CA, USA"
Sean M. Arietta,"EECS Dept., Univ. of California, Berkeley, Berkeley, CA, USA"
Sean M. Smith,"Dept. of Comput. Sci., Texas A&M Univ., College Station, TX, USA"
Sean McKenna,"Sch. of Comput., Univ. of Utah, Salt Lake City, UT, USA"
Sean Williams,"Inst. for Data Anal. & Visualization, Univ. of California, Davis, CA, USA"
Sean Ziegeler,"NSF Eng. Res. Center, Mississippi State Univ., MS, USA"
Sebastian Baltes,"University of Trier, Germany"
Sebastian Bremm,"Interactive-Graphics Syst., Tech. Univ. Darmstadt, Darmstadt, Germany"
Sebastian Grottel,"Univ. Stuttgart, Stuttgart"
Sebastien Boyer,"Massachusetts Institute of Technology, United States of America"
Sébastien Rufiange,"Ecole de Technol. Super., Montreal, QC, Canada"
Selim Balcisoy,"Sabanci University, Turkey"
Seon Joo Kim,"Nat. Univ. of Singapore, Singapore, Singapore"
Sepideh Chakaveh,"IMK-DELTA, Nat. Res. Center for Inf. Technol., St. Augustin, Germany"
Sergej Stoppel,University of Bergen
Sergey V. Matveyev,"Dept. of Comput. Sci., Inst. for High Energy Phys., Moscow, Russia"
Seth Walker,Adobe Research
Seyedkoosha Mirhosseini,"Stony Brook University, United States of America"
Shamal Al-Dohuki,Kent State University
Shantanu H. Joshi,"Dept. of Neurology, Univ. of California, Los Angeles, CA, USA"
Shao-Chiung Lu,"Center for Die Casting, Ohio State Univ., Columbus, OH, USA"
Shehzad Afzal,"Purdue Univ. in West Lafayette, West Lafayette, IN, USA"
Shengdong Zhao,"Toronto Univ., Ont., Canada"
Shiaofen Fang,"Dept. of Comput. & Inf. Sci., Indiana Univ., Indianapolis, IN, USA"
Shigeo Takahashi,"Univ. of Tokyo, Tokyo, Japan"
Shigeru Muraki,"MITI, Electrotech. Lab., Ibaraki, Japan"
Shiqing He,School of Information at the University of Michigan
Shivaraj Tenginakai,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Shixia Liu,School of Software and TNListTsinghua University
Shraddha Agrawal,"Centre for Data Eng., Int. Inst. of Inf. Technol., Hyderabad, India"
Shuai Chen,"Key Laboratory of Machine Perception (Ministry of Education), Peking University, China"
Shyh-Kuang Ueng,"Dept. of Comput. Sci., Nat. Taiwan Ocean Univ., Taipei, Taiwan"
Sidney W. Wang,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Silvia Born,"Univ. of Zurich, Zurich, Switzerland"
Silvia Fademrecht,"Institute of Technical Biochemistry (ITB), University of Stuttgart, Germany"
Silvia Miksch,"Vienna University of Technology, Austria"
Siming Chen,"Key Laboratory of Machine Perception (Ministry of Education), Peking University, China"
Simon Breslav,Autodesk Research
Simon J. Walton,"University of Oxford, UK"
Simon Schröder,"Comput. Graphics & HCI Group, Univ. of Kaiserslautern, Kaiserslautern, Germany"
Simon Stegmaier,"Inst. for Visualization & Interactive Syst., Stuttgart Univ., Germany"
Simon Stusak,"Univ. of Munich, Munich, Germany"
Siwei Fu,Hong Kong University of Science and Technology
Sohaib Ghani,"Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA"
Song Han,"Institute for Robotics and Intelligent Systems, University of Southern California, Los Angeles, CA"
Song Zhang,Brown University
Soon Tee Teoh,University of California at Davis
Sougata Mukherjea,"C&C Res. Lab., NEC USA Inc., USA"
Soujanya Vadapalli,"Centre for Data Eng., Int. Inst. of Inf. Technol.-Hyderabad, Hyderabad, India"
Soumya Dutta,"The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University"
Sriram Karthik Badam,"University of Maryland, College Park, USA"
Staffan Björk,"Interactive Inst., Gothenburg, Sweden"
Stanislav L. Stoev,"Tubingen Univ., Germany"
Stefan Bruckner,"University of Bergen, Norway"
Stefan Gumhold,"WSI/GRIS, Tubingen Univ., Germany"
Stefan Guthe,"WSI/GRIS, Tubingen Univ., Germany"
Stefan Jänicke,"Image & Signal Process. Group, Leipzig Univ., Leipzig, Germany"
Stefan Jordan,"Heidelberg University, Germany"
Stefan Lindholm,"Dept. of Sci. & Technol., Linkoping Univ., Linko&#x0308"
Stefan Röttger,"Visualization & Interactive Syst. Group, Stuttgart Univ., Germany"
Stefan Zachow,"Zuse Inst. Berlin (ZIB), Berlin, Germany"
Steffen Frey,University of Stuttgart
Steffen Hadlak,"Univ. of Rostock, Rostock, Germany"
Steffen Koch,"Inst. of Visualization & Interactive Syst., Univ. of Stuttgart, Stuttgart, Germany"
Steffen Oeltze-Jafra,"Dept. of Simulation & Graphics, Univ. of Magdeburg, Magdeburg, Germany"
Steffen Prohaska,"Sci. Visualization Dept., Zuse Inst. Berlin, Germany"
Stef van den Elzen,"Dept. of Mathematic & Comput. Sci., Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Stephan Diehl,"Comput. Sci. Dept., Univ. of Trier, Trier, Germany"
Stéphane Marchesin,"Univ. of California, Davis, CA, USA"
Stephan M. Kerpedjiev,"Carnegie Mellon Univ., Pittsburgh, PA, USA"
Stephan Pajer,VRVis Research Center
Stephan Reiling,Novartis Institute of BioMedical Research
Stephan Wenger,"Inst. fur Computergraphik, Tech. Univ. Braunschweig, Braunschweig, Germany"
Stephen C. North,"Infovisible LLC, Oldwick, U.S.A."
Stephen Few,"Perceptual Edge, University of California, Berkeley"
Stephen G. Eick,"SSS Res., Inc., Naperville"
Stephen G. Kobourov,"Dept. of Comput. Sci., Arizona Univ., Tucson, AZ"
Stephen Ingram,"Univ. of British Columbia, Vancouver, BC, Canada"
Stephen L. Senft,"Washington Univ. Sch. of Med., St. Louis, MO, USA"
Stephen M. Ervin,"Dept. of Landscape Archit., Harvard Univ., Graduate Sch. of Design, Cambridge, MA, USA"
Stephen M. Kosslyn,Harvard University
Stephen Mann,"Waterloo Univ., Ont., Canada"
Stephen Rudolph,"Purdue Univ. Regional Visualization & Analytics Center (PURVAC), West Lafayette, IN, USA"
Stephen Wehrend,"Colorado Univ., Boulder, CO, USA"
Steve Bryson,"MRJ, Inc./ NASA Ames Research Center"
Steve Haroz,"Univ. of California, Davis, CA, USA"
Steve M. F. Treavett,"Dept. of Comput. Sci., Univ. of Wales, Swansea, UK"
Steve M. Legensky,"Intelligent Light, Fair Lawn, NJ, USA"
Steve Marschner,"Program of Comput. Graphics, Cornell Univ., Ithaca, NY, USA"
Steven Bergner,"GrUVi-Lab, Simon Fraser Univ., Burnaby, BC"
Steven F. Roth,"Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA"
Steven G. Parker,"Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA"
Steven M. Drucker,Microsoft Research
Steven P. Callahan,"Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT"
Steven P. Reiss,"Dept. of Comput. Sci., Brown Univ., Providence, RI, USA"
Steven R. Gomez,Brown University
Steven Schlegel,"Univ. of Leipzig, Leipzig, Germany"
